t,mcc,mcc_lo,mcc_hi,gender,1st_cond,1st_age_band
20,0.5,0,0.75,M,HS,"(0, 9)"
21,0.5,0,0.75,M,HS,"(0, 9)"
22,0.5,0,0.75,M,HS,"(0, 9)"
23,0.5,0,0.75,M,HS,"(0, 9)"
24,0.5,0,0.75,M,HS,"(0, 9)"
25,0.5,0,0.75,M,HS,"(0, 9)"
26,0.5,0,0.75,M,HS,"(0, 9)"
27,0.5,0,0.75,M,HS,"(0, 9)"
28,0.5,0,0.75,M,HS,"(0, 9)"
29,0.5,0,0.75,M,HS,"(0, 9)"
30,0.5,0,0.75,M,HS,"(0, 9)"
31,0.5,0,0.75,M,HS,"(0, 9)"
32,0.5,0,0.75,M,HS,"(0, 9)"
33,0.5,0,0.75,M,HS,"(0, 9)"
34,0.5,0,0.75,M,HS,"(0, 9)"
35,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
36,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
37,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
38,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
39,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
40,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
41,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
42,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
43,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
44,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
45,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
46,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
47,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
48,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
49,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
50,0.7,0.289583333,1.083333333,M,HS,"(0, 9)"
51,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
52,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
53,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
54,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
55,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
56,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
57,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
58,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
59,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
60,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
61,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
62,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
63,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
64,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
65,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
66,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
67,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
68,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
69,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
70,1.366666667,0.333333333,2.345833333,M,HS,"(0, 9)"
